"";"data";"lugar";"media_historica_do_mes";"pluviometria_acumulada_no_mes";"pluviometria_do_dia";"volume_armazenado"
"75";"2004-10-26";"sistemaCotia";122,4;122,1;37,3;0,264
"76";"2004-10-26";"sistemaGuarapiranga";118;99,9;23;0,306
"77";"2004-10-26";"sistemaRioClaro";178,9;193,8;26,5;0,845
"78";"2004-10-26";"sistemaRioGrande";138,1;112,9;20,8;0,803
"79";"2004-10-27";"sistemaAltoTiete";116;112,3;0;0,264
"80";"2004-10-27";"sistemaCantareira";131,4;165,8;0;0,303
"81";"2004-10-27";"sistemaCotia";122,4;122,1;0;0,267
"82";"2004-10-27";"sistemaGuarapiranga";118;99,9;0;0,307
"83";"2004-10-27";"sistemaRioClaro";178,9;194,6;0,8;0,851
"84";"2004-10-27";"sistemaRioGrande";138,1;113,2;0,3;0,804
"85";"2004-10-28";"sistemaAltoTiete";116;112,5;0,2;0,263
"86";"2004-10-28";"sistemaCantareira";131,4;165,8;0;0,302
"87";"2004-10-28";"sistemaCotia";122,4;122,4;0,3;0,267
"88";"2004-10-28";"sistemaGuarapiranga";118;99,9;0;0,308
"89";"2004-10-28";"sistemaRioClaro";178,9;198,1;3,5;0,848
"90";"2004-10-28";"sistemaRioGrande";138,1;115,5;2,3;0,804
"91";"2004-10-29";"sistemaAltoTiete";116;112,5;0;0,263
"92";"2004-10-29";"sistemaCantareira";131,4;165,8;0;0,301
"93";"2004-10-29";"sistemaCotia";122,4;122,4;0;0,264
"94";"2004-10-29";"sistemaGuarapiranga";118;99,9;0;0,307
"95";"2004-10-29";"sistemaRioClaro";178,9;198,3;0,2;0,848
"96";"2004-10-29";"sistemaRioGrande";138,1;115,5;0;0,803
"97";"2004-10-30";"sistemaAltoTiete";116;112,6;0,1;0,262
"98";"2004-10-30";"sistemaCantareira";131,4;165,8;0;0,299
"99";"2004-10-30";"sistemaCotia";122,4;122,4;0;0,261
"100";"2004-10-30";"sistemaGuarapiranga";118;99,9;0;0,306
"101";"2004-10-30";"sistemaRioClaro";178,9;198,4;0,1;0,845
"102";"2004-10-30";"sistemaRioGrande";138,1;115,5;0;0,802
"103";"2004-10-31";"sistemaAltoTiete";116;112,6;0;0,26
"104";"2004-10-31";"sistemaCantareira";131,4;165,8;0;0,298
"105";"2004-10-31";"sistemaCotia";122,4;122,4;0;0,258
"106";"2004-10-31";"sistemaGuarapiranga";118;99,9;0;0,303
"107";"2004-10-31";"sistemaRioClaro";178,9;198,5;0,1;0,84
"108";"2004-10-31";"sistemaRioGrande";138,1;115,5;0;0,8
"109";"2004-11-01";"sistemaAltoTiete";78,1;0;0;NA
"110";"2004-11-01";"sistemaCantareira";156;0;0;0,297
"111";"2004-11-01";"sistemaCotia";132,5;9,6;9,6;0,256
"112";"2004-11-01";"sistemaGuarapiranga";123,3;0,4;0,4;0,302
"113";"2004-11-01";"sistemaRioClaro";203,3;0,6;0,6;0,837
"114";"2004-11-01";"sistemaRioGrande";142,8;1,5;1,5;0,797
"115";"2004-11-02";"sistemaAltoTiete";78,1;0,1;0,1;NA
"116";"2004-11-02";"sistemaCantareira";156;0;0;0,295
